liga,position,valor
Serie A,Defender,1.1
Serie A,Attack,2.5
Premier League,Midfield,27.0
Serie A,Goalkeeper,2.0
Bundesliga,Attack,25.0
LaLiga,Goalkeeper,5.0
Premier League,Midfield,10.0
Premier League,Attack,25.0
Ligue 1,Midfield,2.5
Bundesliga,Defender,1.5
Serie A,Defender,1.2
Premier League,Goalkeeper,0.3
Bundesliga,Attack,4.5
LaLiga,Midfield,3.2
Serie A,Goalkeeper,0.8
Bundesliga,Midfield,3.5
Premier League,Midfield,12.0
Ligue 1,Midfield,5.0
LaLiga,Attack,1.8
LaLiga,Defender,7.0
LaLiga,Attack,6.0
Serie A,Defender,0.3
Bundesliga,Goalkeeper,1.5
Bundesliga,Goalkeeper,4.5
LaLiga,Goalkeeper,3.0
Bundesliga,Attack,4.0
Premier League,Midfield,13.0
LaLiga,Defender,1.2
Premier League,Midfield,35.0
Ligue 1,Defender,3.0
Serie A,Defender,4.0
Premier League,Goalkeeper,5.0
Serie A,Defender,1.7
Premier League,Attack,9.0
Premier League,Defender,3.5
Serie A,Goalkeeper,0.4
Ligue 1,Defender,8.0
LaLiga,Defender,22.0
Serie A,Defender,12.0
Premier League,Attack,8.0
Bundesliga,Goalkeeper,12.0
Bundesliga,Midfield,3.0
Ligue 1,Goalkeeper,4.0
LaLiga,Defender,5.0
Serie A,Defender,5.0
Premier League,Defender,2.5
LaLiga,Attack,1.5
Premier League,Defender,4.0
LaLiga,Defender,8.0
LaLiga,Defender,3.0
LaLiga,Attack,25.0
Premier League,Defender,0.5
Serie A,Midfield,60.0
Premier League,Defender,15.0
LaLiga,Attack,4.5
Serie A,Goalkeeper,3.2
Serie A,Defender,15.0
Serie A,Defender,0.4
LaLiga,Attack,3.0
LaLiga,Defender,0.8
Premier League,Midfield,25.0
Serie A,Goalkeeper,5.0
Serie A,Defender,12.0
Bundesliga,Goalkeeper,40.0
Premier League,Defender,60.0
Premier League,Midfield,1.2
Ligue 1,Defender,3.0
Serie A,Midfield,1.7
Premier League,Defender,20.0
Premier League,Attack,40.0
Premier League,Goalkeeper,28.0
LaLiga,Attack,40.0
LaLiga,Defender,6.0
Premier League,Defender,25.0
LaLiga,Midfield,7.0
Bundesliga,Midfield,20.0
Serie A,Midfield,4.5
Premier League,Defender,10.0
Premier League,Defender,2.8
LaLiga,Goalkeeper,30.0
Premier League,Goalkeeper,35.0
LaLiga,Defender,1.8
Premier League,Midfield,8.0
Premier League,Defender,22.0
Bundesliga,Defender,10.0
LaLiga,Midfield,3.5
Ligue 1,Midfield,18.0
LaLiga,Attack,15.0
Serie A,Midfield,25.0
Serie A,Attack,4.0
Bundesliga,Midfield,2.5
Serie A,Midfield,6.0
LaLiga,Defender,2.2
LaLiga,Midfield,1.4
Premier League,Midfield,18.0
Bundesliga,Midfield,3.0
Bundesliga,Attack,40.0
LaLiga,Defender,1.0
Bundesliga,Attack,10.0
Bundesliga,Midfield,0.3
Premier League,Defender,10.0
Ligue 1,Attack,24.0
Serie A,Defender,2.0
Serie A,Defender,6.0
Bundesliga,Midfield,2.0
